"Department","Division","Model Name","Model#","Description","Shipping Date","Warranty Expiry Date","CPU","Memory","HDD/SSD"
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"POL",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"LIB",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,"2800","8192",
"HHS",,"THINKPAD L480","L480","PC-LAPTOP","10/12/2018","12/06/2021","1600","8192",
"HHS",,"LATITUDE 7400","7400","PC-LAPTOP","01/10/2020",,"1600","8192",
"POL",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/26/2021","09/15/2024","2400","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"LIB",,"THINKPAD L470","L470","PC-LAPTOP","10/12/2017","12/02/2020","2500","8192",
"LIB",,"THINKPAD L470","L470","PC-LAPTOP","10/12/2017","12/02/2020","2500","8192",
"LIB",,"THINKPAD L470","L470","PC-LAPTOP","10/12/2017","12/02/2020","2500","8192",
"LIB",,"THINKPAD L470","L470","PC-LAPTOP","10/12/2017","12/02/2020","2500","8192",
"LIB",,"THINKPAD L470","L470","PC-LAPTOP","10/12/2017","12/02/2020","2500","8192",
"LIB",,"THINKPAD L470","L470","PC-LAPTOP","10/12/2017","12/02/2020","2500","8192",
"POL",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,"2800","8192",
"REC",,"THINKCENTRE M83","M83","PC-DESKTOP","06/26/2014","08/09/2017","3200","8192","476937"
"FRS",,"THINKCENTRE M80S","M80S","PC-DESKTOP","11/04/2021","03/21/2025","3100","16384",
"CEC-CORE",,"THINKPAD L440","L440","PC-LAPTOP","07/15/2014","08/28/2017","2500","8192","114470"
"BOE",,"LATITUDE 5410","5410","PC-LAPTOP","06/25/2020",,"1600","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","SID","LATITUDE","5414","PC-LAPTOP","02/15/2019",,"2600","16384",
"BOE",,"LATITUDE 5410","5410","PC-LAPTOP","06/25/2020",,"1600","8192",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"FRS",,"THINKCENTRE M80S","M80S","PC-DESKTOP","11/04/2021","03/21/2025","3100","16384",
"POL",,"THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"REC",,"THINKCENTRE M720S","M720S","PC-DESKTOP","12/06/2019","12/16/2022","2800","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","PSTA","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"HHS","OESS","LATITUDE 7400","7400","PC-LAPTOP","01/10/2020",,"1600","8192",
"DOT-PRK",,"THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","4096",
"DOT-DHS",,"THINKPAD X1","X1","PC-LAPTOP","04/08/2018","05/31/2021","2600","8192",
"FRS",,"THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","16384",
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"LIB",,"IPAD 10.2-INCH 8TH GENERATION","IPAD 10.2-INCH 8TH","PC-TABLET",,,,,
"CCL",,"THINKPAD L15","L15","PC-LAPTOP","03/05/2022","03/09/2025","2800","16384",
"HHS",,"THINKCENTRE M710S","M710S","PC-DESKTOP","09/06/2018","10/20/2021","3200","8192",
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"DHCA",,"LATITUDE 7400","7400","PC-LAPTOP","01/10/2020",,"1600","8192",
"HHS",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/26/2021","09/15/2024",,,
"POL","HQ","LATITUDE 5424","5424","PC-LAPTOP","05/30/2019",,"1900","16384",
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","4096","476937"
